      family domain.file problem                       planner      instance.N planner.calls.mean plan.size.mean instance.time.mean prep.time.mean exec.time.mean
1      doors      d.pddl     p05                            ff              25           3.960000      11.400000       1.206466e-01   9.928724e-02   4.344020e-02
2      doors      d.pddl     p05 hop(num-sampled-scenarios=05)**            25           3.360000      13.640000       3.360208e-02   2.544112e-02   3.360208e-02
3      doors      d.pddl     p05 hop(num-sampled-scenarios=10)              25           2.960000      13.080000       5.392312e-02   2.224084e-02   5.392312e-02
4      doors      d.pddl     p07                            ff             343           8.734694      20.428571       6.164926e-01   5.495449e-01   1.318023e-01
5      doors      d.pddl     p07 hop(num-sampled-scenarios=05)**           343           5.632653      27.419825       2.501265e-01   8.247671e-02   2.501265e-01
6      doors      d.pddl     p07 hop(num-sampled-scenarios=10)             343           5.148688      28.428571       4.468268e-01   7.704203e-02   4.468268e-01
7      doors      d.pddl     p09                            ff            1000          15.657000      32.954000       2.961888e+00   2.756344e+00   3.652338e-01
8      doors      d.pddl     p09 hop(num-sampled-scenarios=05)**          1000           7.279000      44.932000       1.163169e+00   2.072202e-01   1.163169e+00
9      doors      d.pddl     p09 hop(num-sampled-scenarios=10)            1000           7.587000      44.392000       2.639277e+00   2.053802e-01   2.639277e+00
10     doors      d.pddl     p11                            ff            1000          24.264000      47.960000       1.199391e+01   1.153471e+01   7.957846e-01
11     doors      d.pddl     p11 hop(num-sampled-scenarios=05)**          1000           9.781000      66.302000       5.061192e+00   4.612321e-01   5.061192e+00
12     doors      d.pddl     p11 hop(num-sampled-scenarios=10)            1000           9.837000      68.162000       9.770291e+00   4.438030e-01   9.770291e+00
13     doors      d.pddl     p13                            ff            1000          35.557000      66.738000       5.210845e+01   5.107559e+01   1.699550e+00
14     doors      d.pddl     p13 hop(num-sampled-scenarios=05)**          1000          11.477000      94.626000       1.837996e+01   9.160764e-01   1.837996e+01
15     doors      d.pddl     p13 hop(num-sampled-scenarios=10)            1000          11.933000      92.652000       3.650348e+01   8.760339e-01   3.650348e+01
16     doors      d.pddl     p15                            ff            1000          47.607000      93.254000       1.650891e+02   1.630447e+02   3.283325e+00
17     doors      d.pddl     p15 hop(num-sampled-scenarios=05)**          1000          15.480000     130.914000       8.776821e+01   1.776119e+00   8.776821e+01
18     doors      d.pddl     p15 hop(num-sampled-scenarios=10)            1000          15.724000     128.180000       1.924778e+02   1.738368e+00   1.924778e+02
19     doors      d.pddl     p17                            ff            1000          62.156000     119.674000       4.384682e+02   4.343461e+02   6.110499e+00
20     doors      d.pddl     p17 hop(num-sampled-scenarios=05)**          1000          16.904000     164.058000       2.299480e+02   2.963808e+00   2.299480e+02
21     doors      d.pddl     p17 hop(num-sampled-scenarios=10)            1000          16.190000     155.098000       4.766534e+02   2.981342e+00   4.766534e+02
22     doors      d.pddl     p19                            ff            1000          78.424000     160.508000       1.071145e+03   1.063262e+03   1.121539e+01
23     doors      d.pddl     p19 hop(num-sampled-scenarios=05)**          1000          21.017000     209.670000       6.338712e+02   5.024229e+00   6.338712e+02
24     doors      d.pddl     p19 hop(num-sampled-scenarios=10)            1000          20.102000     205.966000       1.194345e+03   5.078241e+00   1.194345e+03

25     ebtcs     d2.pddl     p10                            ff              10           5.500000       6.400000       1.316073e-01   8.940710e-02   5.140030e-02
26     ebtcs     d2.pddl     p10 hop(num-sampled-scenarios=05)**            10           3.400000       4.400000       2.720140e-02   8.000000e-03   2.720140e-02
27     ebtcs     d2.pddl     p10 hop(num-sampled-scenarios=10)              10           5.400000       6.300000       8.280500e-02   8.000100e-03   8.280500e-02
28     ebtcs     d2.pddl     p30                            ff**            30          15.500000      16.466667       6.160376e-01   4.411710e-01   1.958006e-01
29     ebtcs     d2.pddl     p30 hop(num-sampled-scenarios=05)              30          15.500000      16.500000       1.146472e+00   2.080070e-02   1.146472e+00
30     ebtcs     d2.pddl     p30 hop(num-sampled-scenarios=10)              30          11.733333      12.700000       1.704507e+00   2.066753e-02   1.704507e+00
